2025-02-19 21:08:53,871 [main] INFO  (RestXqServiceRegistryManager.java [getRegistry]:49) - Initialising RESTXQ... 
2025-02-19 21:08:55,356 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/rename.xql 
2025-02-19 21:08:55,357 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/local-packages-json.xql'... 
2025-02-19 21:08:55,538 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/local-packages-json.xql 
2025-02-19 21:08:55,539 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/remote-packages-json.xql'... 
2025-02-19 21:08:55,720 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/remote-packages-json.xql 
2025-02-19 21:08:55,721 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/remote-packages.xql'... 
2025-02-19 21:08:55,858 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/remote-packages.xql 
2025-02-19 21:08:55,859 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/local-packages.xql'... 
2025-02-19 21:08:55,985 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/local-packages.xql 
2025-02-19 21:08:55,986 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/local-apps-json.xql'... 
2025-02-19 21:08:56,093 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/local-apps-json.xql 
2025-02-19 21:08:56,094 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/local-apps.xql'... 
2025-02-19 21:08:56,219 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/local-apps.xql 
2025-02-19 21:08:56,220 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/test.xql'... 
2025-02-19 21:08:56,366 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/test.xql 
2025-02-19 21:08:56,384 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/login-helper.xql' has been added to the database, re-examining '/db/apps/packageservice/controller.xql'... 
2025-02-19 21:08:56,541 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/controller.xql 
2025-02-19 21:08:56,874 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/dashboard/bower_components/existdb-usermanager/controller.xql' has a missing dependency on '/db/apps/dashboard/bower_components/existdb-usermanager/modules/userManager.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:56,895 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/dashboard/bower_components/existdb-usermanager/modules/mytest.xql' has a missing dependency on '/db/apps/dashboard/bower_components/existdb-usermanager/modules/userManager2.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:56,916 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/dashboard/bower_components/existdb-usermanager/modules/userManager.xqm' has been added to the database, re-examining '/db/apps/dashboard/bower_components/existdb-usermanager/controller.xql'... 
2025-02-19 21:08:56,946 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/dashboard/bower_components/existdb-usermanager/controller.xql' has a missing dependency on '/db/apps/dashboard/bower_components/existdb-usermanager/modules/jsjson.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:56,947 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/dashboard/bower_components/existdb-usermanager/controller.xql 
2025-02-19 21:08:56,981 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/dashboard/bower_components/existdb-usermanager/modules/jsjson.xqm' has been added to the database, re-examining '/db/apps/dashboard/bower_components/existdb-usermanager/controller.xql'... 
2025-02-19 21:08:57,119 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/dashboard/bower_components/existdb-usermanager/controller.xql 
2025-02-19 21:08:58,099 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/dashboard/modules/dashboard.xqm' has a missing dependency on '/db/apps/dashboard/modules/packages/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:58,129 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/dashboard/modules/local-applications.xql' has a missing dependency on '/db/apps/dashboard/modules/dashboard.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:58,129 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/dashboard/modules/dashboard.xqm' has a missing dependency on '/db/apps/dashboard/modules/packages/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,136 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/controller.xql' has a missing dependency on '/db/apps/doc/modules/config.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,382 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/test-runner.xql' has a missing dependency on '/db/apps/doc/modules/test-suite.xql'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,396 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/test-suite.xql' has a missing dependency on '/db/apps/doc/modules/docbook.xql'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,412 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/docbook.xql' has a missing dependency on '/db/apps/doc/modules/config.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,461 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/view.xql' has a missing dependency on '/db/apps/doc/modules/search.xql'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,474 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/search.xql' has a missing dependency on '/db/apps/doc/modules/config.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,514 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/config.xqm' has been added to the database, re-examining '/db/apps/doc/modules/docbook.xql'... 
2025-02-19 21:09:00,578 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/docbook.xql' has been added to the database, re-examining '/db/apps/doc/modules/test-suite.xql'... 
2025-02-19 21:09:00,666 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/test-suite.xql' has a missing dependency on '/db/apps/doc/modules/diagnostics.xql'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,667 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/test-suite.xql 
2025-02-19 21:09:00,667 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/docbook.xql 
2025-02-19 21:09:00,668 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/config.xqm' has been added to the database, re-examining '/db/apps/doc/controller.xql'... 
2025-02-19 21:09:00,712 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/controller.xql 
2025-02-19 21:09:00,713 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/config.xqm' has been added to the database, re-examining '/db/apps/doc/modules/search.xql'... 
2025-02-19 21:09:00,792 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/search.xql' has been added to the database, re-examining '/db/apps/doc/modules/view.xql'... 
2025-02-19 21:09:00,862 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/view.xql' has a missing dependency on '/db/apps/doc/modules/review.xql'. Will re-examine if the missing module is added. 
2025-02-19 21:09:00,863 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/view.xql 
2025-02-19 21:09:00,864 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/search.xql 
2025-02-19 21:09:01,069 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/review.xql' has been added to the database, re-examining '/db/apps/doc/modules/view.xql'... 
2025-02-19 21:09:01,185 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/doc/modules/view.xql' has a missing dependency on '/db/apps/doc/modules/diagnostics.xql'. Will re-examine if the missing module is added. 
2025-02-19 21:09:01,186 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/view.xql 
2025-02-19 21:09:01,241 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/diagnostics.xql' has been added to the database, re-examining '/db/apps/doc/modules/test-suite.xql'... 
2025-02-19 21:09:01,321 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/test-suite.xql' has been added to the database, re-examining '/db/apps/doc/modules/test-runner.xql'... 
2025-02-19 21:09:01,491 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/test-runner.xql 
2025-02-19 21:09:01,492 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/test-suite.xql 
2025-02-19 21:09:01,494 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/doc/modules/diagnostics.xql' has been added to the database, re-examining '/db/apps/doc/modules/view.xql'... 
2025-02-19 21:09:01,599 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/doc/modules/view.xql 
2025-02-19 22:04:50,119 [main] INFO  (RestXqServiceRegistryManager.java [getRegistry]:49) - Initialising RESTXQ... 
2025-02-19 22:04:50,123 [main] INFO  (RestXqServiceRegistryManager.java [getRegistry]:67) - RESTXQ is ready. 
